data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
LinkedList,69576,277,797626294,96469463,0.12,6756395,13918361,452,14410688,127018
LinkedList,100508,286,2198427161,143273864,0.07,39421369,20516824,1073,22214590,650914
LinkedList,245191,274,6204967891,335728190,0.05,154444571,47991003,1187,70320850,10612132
LinkedList,467095,286,13863850266,667822404,0.05,435455476,95481708,2924,197065467,47310967
LinkedList,678922,319,24719013132,1082509500,0.04,820291293,154772680,5839,359577226,91978489
LinkedList,912032,299,32065667912,1363387254,0.04,1055484689,194826085,3140,478025790,124618130
LinkedList,2271175,25,7796238056,284008560,0.04,258622221,40554261,1803,112597130,30007298
LinkedList,4518342,34,21637748375,767580117,0.04,729508830,109792134,3899,315872367,84396192
LinkedList,6761270,28,27052785449,945765819,0.03,930479993,135322115,5280,394245493,105338783
LinkedList,10000000,2,2982528008,99935044,0.03,102039055,14299303,384,42101515,11228990
AoS,964,291,1273273,1966145,1.54,15,281202,326,2647,0
AoS,2492,322,236028,2691566,11.40,198,803166,353,190576,2
AoS,4550,319,2115149,5685624,2.69,3343,1452186,445,260439,3
AoS,7073,322,6796775,11147579,1.64,3442,1589329,259,430255,60
AoS,10889,326,8444410,15525479,1.84,3988,2637347,309,728750,89
AoS,26642,279,23835489,37804140,1.59,45873,5377688,276,1282880,449
AoS,47976,281,42463109,67546947,1.59,137192,9825572,255,2347651,1143
AoS,69576,313,65958059,107325951,1.63,270878,15765421,311,3942621,3047
AoS,100508,311,99678296,156526143,1.57,1608557,22604034,375,5570635,7467
AoS,245191,312,256635623,379634967,1.48,11465826,54850434,571,13747536,46930
AoS,467095,325,523600571,756623561,1.45,32269146,108538074,749,27271096,326630
AoS,678922,286,662771696,970031777,1.46,44391806,138978092,794,34782698,431447
AoS,912032,296,974978076,1349799613,1.38,64945947,192984920,477,48349344,600467
AoS,2271175,29,223886913,330670320,1.48,16169959,47173232,71,11738969,146111
AoS,4518342,28,431901653,630952044,1.46,30597236,90327739,310,22754270,282196
AoS,6761270,31,710658091,1047436973,1.47,51395568,149840689,124,37543440,466995
AoS,10000000,3,99670138,148603512,1.49,7272999,21643150,77,5408827,65733
SoA,964,273,155367,1844554,11.87,237,263814,308,120,0
SoA,2492,329,858047,3592438,4.19,15,820623,363,267,0
SoA,4550,322,2207426,5358223,2.43,256,1102262,340,6531,9
SoA,7073,326,7014646,11583428,1.65,1107,1637134,276,3900,15
SoA,10889,302,7334105,14164812,1.93,4851,2639868,297,160974,25
SoA,26642,303,25237796,41457970,1.64,15028,5910091,278,349343,108
SoA,47976,275,40619620,65709125,1.62,72597,9385698,327,592810,458
SoA,69576,289,61553795,101389527,1.65,83336,14611482,279,891765,701
SoA,100508,328,102298487,165132462,1.61,103355,23502927,297,1473138,1788
SoA,245191,271,209964803,332472411,1.58,1194240,47400258,344,2960111,3653
SoA,467095,326,478637888,761026002,1.59,4683023,109132260,436,6810058,19056
SoA,678922,316,673191765,1071355023,1.59,9900491,153126459,501,9625238,72094
SoA,912032,309,887088750,1408776734,1.59,17349351,201518715,498,12620318,138900
SoA,2271175,31,221985951,352561588,1.59,4953259,50501011,168,3150550,39011
SoA,4518342,25,357822875,564168504,1.58,8035820,80635511,291,5067869,63095
SoA,6761270,25,534677006,843345280,1.58,12044948,120523840,61,7600190,94626
SoA,10000000,2,62874749,101010697,1.61,1443803,14428506,83,893334,10874
BST,964,327,1451077,3310010,2.28,11,647555,875,0,0
BST,2492,301,617396,3371934,5.46,2919,1520148,3556,1281208,23
BST,4550,275,5338936,8364911,1.57,3873,1630180,5462,2087005,39
BST,7073,274,9866405,12955778,1.31,6400,3044585,7557,2727508,173
BST,10889,285,23826930,21984252,0.92,35935,4576764,17275,3987482,348
BST,26642,280,79108429,55203145,0.70,84932,10944157,40239,8678869,2940
BST,47976,276,153034059,97436440,0.64,430582,19359603,103220,15291612,10240
BST,69576,317,269950585,163519289,0.61,1864739,32991337,143280,25838416,29759
BST,100508,277,368496725,221249174,0.60,6967357,42605184,115440,32349883,56600
BST,245191,323,3111929155,767568523,0.25,266568886,131005086,592579,131061803,27403208
BST,467095,299,7597695530,1299293041,0.17,573751046,223676009,1065495,283474901,80167054
Array,1064,322,0,0,0.00,0,0,0,0,0
Array,2662,316,0,0,0.00,0,0,0,0,0
Array,5324,321,0,0,0.00,0,0,0,0,0
Array,7986,297,0,0,0.00,0,0,0,0,0
Array,10648,328,0,0,0.00,0,0,0,0,0
Array,26622,312,0,0,0.00,0,0,0,0,0
Array,53244,283,0,0,0.00,0,0,0,0,0
Array,79866,277,0,0,0.00,0,0,0,0,0
Array,106488,306,0,0,0.00,0,0,0,0,0
Array,266221,278,0,0,0.00,0,0,0,0,0
Array,532443,321,0,0,0.00,0,0,0,0,0
Array,798665,309,0,0,0.00,0,0,0,0,0
Array,1064886,32,0,0,0.00,0,0,0,0,0
Array,2662216,33,0,0,0.00,0,0,0,0,0
Array,5324433,30,0,0,0.00,0,0,0,0,0
Array,7986650,30,0,0,0.00,0,0,0,0,0
Array,10000000,3,0,0,0.00,0,0,0,0,0
LinkedList,1064,293,0,0,0.00,0,0,0,0,0
LinkedList,2662,296,0,0,0.00,0,0,0,0,0
LinkedList,5324,286,0,0,0.00,0,0,0,0,0
LinkedList,7986,279,0,0,0.00,0,0,0,0,0
LinkedList,10648,308,0,0,0.00,0,0,0,0,0
LinkedList,26622,283,0,0,0.00,0,0,0,0,0
LinkedList,53244,314,0,0,0.00,0,0,0,0,0
LinkedList,79866,309,0,0,0.00,0,0,0,0,0
LinkedList,106488,309,0,0,0.00,0,0,0,0,0
LinkedList,266221,272,0,0,0.00,0,0,0,0,0
LinkedList,532443,315,0,0,0.00,0,0,0,0,0
Array,1000,100,0,0,0.00,0,0,0,0,0,0.0
Array,2500,100,0,0,0.00,0,0,0,0,0,0.0
Array,5000,100,0,0,0.00,0,0,0,0,0,0.0
Array,7500,100,0,0,0.00,0,0,0,0,0,0.0
Array,10000,100,0,0,0.00,0,0,0,0,0,0.0
Array,25000,100,0,0,0.00,0,0,0,0,0,0.0
Array,50000,100,0,0,0.00,0,0,0,0,0,0.0
Array,75000,100,0,0,0.00,0,0,0,0,0,0.0
Array,100000,100,0,0,0.00,0,0,0,0,0,0.0
Array,250000,100,0,0,0.00,0,0,0,0,0,0.0
Array,500000,100,0,0,0.00,0,0,0,0,0,0.0
Array,750000,100,0,0,0.00,0,0,0,0,0,0.0
Array,1000000,20,0,0,0.00,0,0,0,0,0,0.0
Array,2500000,20,0,0,0.00,0,0,0,0,0,0.0
Array,5000000,20,0,0,0.00,0,0,0,0,0,0.0
Array,7500000,20,0,0,0.00,0,0,0,0,0,0.0
Array,10000000,3,0,0,0.00,0,0,0,0,0,0.0
LinkedList,1000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,2500,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,5000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,7500,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,10000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,25000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,50000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,75000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,100000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,250000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,500000,100,0,0,0.00,0,0,0,0,0,0.0
Array,1000,100,1078,7456,6.92,1,1101,11,19,0,92.5
Array,2500,100,14619,17956,1.23,0,2601,11,0,0,72.7
Array,5000,100,28172,35456,1.26,0,5101,6,83,0,2.5
Array,7500,100,1070,52956,49.49,0,7601,13,449,0,258.9
Array,10000,100,830,260,0.31,0,10101,13,635,0,215.6
Array,25000,100,1347,175456,130.26,0,25101,13,5,0,130.8
Array,50000,100,271403,350456,1.29,0,50101,13,3140,0,81.6
Array,75000,100,406357,525456,1.29,0,75101,13,4697,0,88.5
Array,100000,100,541543,700456,1.29,0,100101,13,6259,0,91.7
Array,250000,100,1352535,1750456,1.29,4,250101,14,15636,0,82.9
Array,500000,100,2061562,3500456,1.70,21,500101,13,31262,0,81.9
Array,750000,100,2911390,5250457,1.80,2111,750102,13,46892,0,77.7
Array,1000000,20,3677862,7000457,1.90,42002,965467,13,58794,3,66.1
Array,2500000,20,7681052,11587536,1.51,133116,1804740,13,115277,1262,47.2
Array,5000000,20,15598202,25426835,1.63,316369,3664595,14,229532,2780,5.5
Array,7500000,20,24454371,37365087,1.53,532977,5359771,19,335751,4168,2.5
Array,10000000,3,28819901,46447873,1.61,677558,7142775,25,467498,5538,12.7
LinkedList,1000,100,958,7454,7.78,4,1101,12,429,0,116.5
LinkedList,2500,100,1087,260,0.24,0,2601,13,2252,0,205.7
LinkedList,5000,100,1062,25770,24.27,0,5101,15,5148,0,132.5
LinkedList,7500,100,1086,52954,48.76,1,7601,12,8023,0,114.5
LinkedList,10000,100,298791,70454,0.24,0,10101,16,10677,0,83.5
LinkedList,25000,100,1049541,175454,0.17,2,25101,15,25795,0,87.3
LinkedList,50000,100,1736042,350454,0.20,2,50101,13,50909,0,83.5
LinkedList,75000,100,2772197,525455,0.19,45,75102,14,75966,0,75.9
LinkedList,100000,100,3554103,671071,0.19,1623,94276,14,89206,0,70.0
LinkedList,250000,100,22632115,1208761,0.05,247385,173644,13,233407,32473,14.1
LinkedList,500000,100,67287569,2501086,0.04,930871,357253,16,676572,217424,2.3
LinkedList,750000,100,139621568,3784698,0.03,2118610,537538,19,934503,320137,9.2
LinkedList,1000000,20,157247409,4979220,0.03,3138507,711988,16,1635150,460996,2.9
LinkedList,2500000,20,430030044,12494507,0.03,9935465,1785310,25,4752832,1317281,3.5
LinkedList,5000000,20,900239073,24992034,0.03,21854769,3573011,25,10152123,2747092,5.2
LinkedList,7500000,20,1438707231,37493882,0.03,33512993,5357971,38,13968908,4175449,11.8
LinkedList,10000000,3,1732150414,49989623,0.03,45270446,7150551,36,20930952,5595748,1.7
AoS,1000,100,6876,7456,1.08,4,1101,13,0,0,6.2
AoS,2500,100,14630,17956,1.23,22,2601,5,632,0,84.2
AoS,5000,100,856,325,0.38,12,5101,13,1264,0,211.3
AoS,7500,100,1048,52956,50.53,64,7601,13,1891,0,291.3
AoS,10000,100,1024,325,0.32,0,10101,13,2512,0,175.0
AoS,25000,100,91453,175456,1.92,29,15665,14,6260,0,97.0
AoS,50000,100,274473,350456,1.28,474,50101,14,12513,0,91.5
AoS,75000,100,417054,525456,1.26,2251,75101,14,18759,0,95.3
AoS,100000,100,545834,700456,1.28,661,100101,13,25016,0,89.1
AoS,250000,100,1434725,1750456,1.22,71751,250101,14,62728,338,84.4
AoS,500000,100,2149548,3489118,1.62,162958,500102,17,125286,1296,77.0
AoS,750000,100,3114136,4476340,1.44,229893,659527,14,164728,1871,68.4
AoS,1000000,20,3269145,5838974,1.79,290341,783668,15,183387,2419,61.0
AoS,2500000,20,9975691,11953457,1.20,630763,1757611,29,432093,5216,11.3
AoS,5000000,20,18092192,23889435,1.32,1245993,3449966,21,886016,10668,10.4
AoS,7500000,20,26412273,37130928,1.41,1966946,5380363,28,1347249,16755,11.3
AoS,10000000,3,37134818,49610658,1.34,2696769,7191507,42,1812104,22269,6.5
SoA,1000,100,6513,7456,1.14,0,1101,12,0,0,2.6
SoA,2500,100,1223,260,0.21,0,2601,12,62,0,143.0
SoA,5000,100,1085,35456,32.68,4,5101,13,172,0,119.2
SoA,7500,100,861,260,0.30,8,7601,12,458,0,168.2
SoA,10000,100,1057,260,0.25,3,10101,14,636,0,305.5
SoA,25000,100,136362,175456,1.29,2,25101,13,1573,0,77.3
SoA,50000,100,213152,350456,1.64,16,50101,13,3135,0,94.5
SoA,75000,100,275838,525456,1.90,95,75101,13,4699,0,97.1
SoA,100000,100,347514,700456,2.02,1198,100101,16,6285,3,93.1
SoA,250000,100,1110207,1750456,1.58,13132,250101,15,15682,12,83.9
SoA,500000,100,1903991,3500457,1.84,29959,500102,14,31269,11,76.9
SoA,750000,100,2895098,5250457,1.81,49448,731875,15,43650,13,71.9
SoA,1000000,20,2868927,6061297,2.11,85852,805299,14,48705,239,62.9
SoA,2500000,20,8208036,11341301,1.38,165137,1687150,18,102544,1226,18.2
SoA,5000000,20,15846183,24779713,1.56,360099,3589213,31,223567,2679,10.7
SoA,7500000,20,24312079,37700756,1.55,553149,5464711,29,345971,4347,7.5
SoA,10000000,3,31192705,49380254,1.58,704464,7044698,20,462270,5675,1.6
BST,1000,100,7089,10948,1.54,2,2157,14,0,0,43.6
BST,2500,100,1228,335,0.27,0,5165,21,4750,0,151.2
BST,5000,100,987,335,0.34,0,10179,49,9542,0,193.1
BST,7500,100,1039,335,0.32,0,15191,44,13861,0,147.6
BST,10000,100,168487,101226,0.60,1,20193,88,17614,0,90.5
BST,25000,100,539998,256639,0.48,1,51167,211,40834,0,89.0
BST,50000,100,1204474,515041,0.43,39,102715,503,80046,0,84.7
BST,75000,100,1721833,793221,0.46,4420,157481,558,120809,0,112.1
BST,100000,100,2159238,1011750,0.47,7168,214008,743,161285,0,88.6
BST,250000,100,17551260,2421095,0.14,778516,411096,1390,410697,91260,13.4
BST,500000,100,76126922,4602689,0.06,2053109,799078,3886,829665,286223,10.6
BST,750000,100,77954486,6697139,0.09,2896044,1210295,7072,1476165,432349,10.8
BST,1000000,20,87657651,8771593,0.10,4017251,1623882,19884,2044241,573138,3.0
BST,2500000,20,243584634,21133124,0.09,10758459,4058008,13909,5226620,1439183,1.8
BST,5000000,20,409805274,44408197,0.11,20906594,8070946,19034,10528225,2881481,1.0
BST,7500000,20,621263703,67588464,0.11,32195475,11977492,35263,15832065,4318669,1.4
BST,10000000,3,858375354,89731587,0.10,42878201,15820973,43831,20986286,5762110,0.6
Vector,1000,100,6959,7456,1.07,0,1101,12,0,0,2.8
Vector,2500,100,836,325,0.39,0,2601,12,40,0,166.8
Vector,5000,100,28532,35456,1.24,0,5101,13,0,0,0.8
Vector,7500,100,863,52956,61.36,28,7601,13,455,0,235.3
Vector,10000,100,859,70456,82.02,5,10101,13,634,0,222.7
Vector,25000,100,918,325,0.35,0,25101,12,1571,0,312.2
Vector,50000,100,94638,350456,3.70,4,50101,13,3133,0,99.6
Vector,75000,100,407373,525456,1.29,223,75101,14,4696,0,71.0
Vector,100000,100,542381,700456,1.29,99,100101,14,6259,0,85.8
Vector,250000,100,983440,1750456,1.78,2952,250101,14,15635,0,89.6
Vector,500000,100,2291165,3500457,1.53,32464,500102,16,31264,0,80.1
Vector,750000,100,3003147,5106946,1.70,42818,744728,14,46888,3,72.3
Vector,1000000,20,3427689,6147009,1.79,82489,901861,16,56403,144,69.5
Vector,2500000,20,7793957,10991251,1.41,154028,1657782,26,119677,1308,24.7
Vector,5000000,20,15810691,25082042,1.59,360412,3606756,41,221979,2803,20.5
Vector,7500000,20,23700984,37836349,1.60,551889,5299539,41,339931,4370,8.6
Vector,10000000,3,30713757,48803616,1.59,703912,7173778,15,460431,5364,0.8
Deque,1000,100,6007,11613,1.93,0,2150,10,0,0,4.5
Deque,2500,100,822,31427,38.23,0,6248,15,43,0,99.5
Deque,5000,100,804,260,0.32,0,10346,16,191,0,221.3
Deque,7500,100,794,87212,109.84,0,16493,20,450,0,168.1
Deque,10000,100,50367,112026,2.22,0,39,25,631,0,68.4
Deque,25000,100,125370,279381,2.23,23,51326,40,1583,0,87.1
Deque,50000,100,241849,552149,2.28,0,100502,64,3161,0,97.3
Deque,75000,100,365967,831074,2.27,54,151727,89,4733,0,87.1
Deque,100000,100,1687,1103842,654.32,95,200903,116,6308,0,103.7
Deque,250000,100,1210629,2758921,2.28,7766,502106,260,15759,0,90.2
Deque,500000,100,2036449,5511230,2.71,40271,1002063,505,31564,130,77.5
Deque,750000,100,2632535,8002856,3.04,63179,1498162,749,45207,146,73.8
Deque,1000000,20,4017337,7136243,1.78,90070,1772990,821,62424,258,76.2
Deque,2500000,20,7974408,18486711,2.32,167748,3440048,1703,108344,1281,23.6
Deque,5000000,20,14432818,40642718,2.82,367797,7429840,3787,224712,2807,14.6
Deque,7500000,20,22364229,59514947,2.66,544479,10815017,5310,341804,4298,4.2
Deque,10000000,3,28628393,78968112,2.76,718613,14614178,6857,435824,5239,6.3
Heap,1000,100,1141,7456,6.53,0,1101,11,16,0,93.1
Heap,2500,100,1161,17956,15.47,5,2601,11,51,0,158.5
Heap,5000,100,28270,35456,1.25,15,5101,13,0,0,61.0
Heap,7500,100,1210,52956,43.77,1,7601,12,443,0,178.7
Heap,10000,100,55768,70456,1.26,57,10101,2,636,0,73.5
Heap,25000,100,137333,175456,1.28,215,25101,13,1575,0,74.2
Heap,50000,100,273531,350456,1.28,243,50101,12,0,0,56.2
Heap,75000,100,407012,525456,1.29,43,75101,14,4699,0,88.8
Heap,100000,100,542177,700456,1.29,185,100101,12,6260,0,80.2
Heap,250000,100,1225170,1750456,1.43,6042,250101,14,15634,0,85.5
Heap,500000,100,2057308,3500457,1.70,35431,500102,18,31276,29,78.0
Heap,750000,100,2540845,5249377,2.07,56434,634398,19,45245,158,72.3
Heap,1000000,20,3000231,5558726,1.85,93247,778945,24,47239,680,62.9
Heap,2500000,20,7301628,11739304,1.61,165003,1656221,16,106229,1288,18.1
Heap,5000000,20,16117679,25319040,1.57,350787,3511359,31,222060,2793,14.3
Heap,7500000,20,24065377,38631762,1.61,546129,5515261,22,347172,4272,7.4
Heap,10000000,3,31363451,49456655,1.58,704809,7079149,28,460687,5583,0.1
HashMap,1000,100,6898,13454,1.95,11,3101,19,0,0,68.7
HashMap,2500,100,20005,32954,1.65,28,7601,50,0,0,18.5
HashMap,5000,100,1091,65454,59.99,2,15101,78,0,0,151.4
HashMap,7500,100,900,260,0.29,2,22601,149,12541,0,302.5
HashMap,10000,100,88276,130454,1.48,2,30101,224,16038,0,92.1
HashMap,25000,100,1202,325454,270.76,32,75101,727,36589,0,117.6
HashMap,50000,100,577453,650454,1.13,628,150101,1532,65854,0,82.7
HashMap,75000,100,869316,975454,1.12,6679,225101,1751,104262,1,98.5
HashMap,100000,100,1564922,1300454,0.83,28111,300101,3779,127868,57,81.9
HashMap,250000,100,5821381,2225246,0.38,384209,527680,4250,298148,36913,46.0
HashMap,500000,100,12025215,4722880,0.39,1140742,1080792,10093,808232,204970,13.6
HashMap,750000,100,19674804,7031404,0.36,1608228,1626089,12281,1036258,350609,18.7
HashMap,1000000,20,27681673,9379828,0.34,2466203,2129962,14286,1717460,507225,8.9
HashMap,2500000,20,85541818,23146934,0.27,8092263,5346761,98658,4981238,1360860,5.2
HashMap,5000000,20,181822528,46481134,0.26,17411408,10724883,187856,10203937,2798954,11.4
HashMap,7500000,20,442102021,69611743,0.16,31856485,16076597,287357,16057607,4220114,0.5
HashMap,10000000,3,342258633,93142470,0.27,33966985,21411027,229445,20577846,5639653,0.5
RBTree,1000,100,1279,10948,8.56,0,26,14,1521,0,123.1
RBTree,2500,100,761,26040,34.22,0,5165,24,4385,0,184.7
RBTree,5000,100,1221,335,0.27,0,10179,49,9116,0,170.7
RBTree,7500,100,127613,76223,0.60,0,15191,47,11647,0,86.3
RBTree,10000,100,193833,101226,0.52,0,20193,90,14582,0,87.4
RBTree,25000,100,527041,256639,0.49,0,51167,217,35548,0,84.4
RBTree,50000,100,1175216,515041,0.44,270,102715,507,69248,0,76.4
RBTree,75000,100,1931891,798894,0.41,14421,157481,542,102153,0,91.6
RBTree,100000,100,4011177,882722,0.22,116325,178517,789,119544,368,67.3
RBTree,250000,100,18436190,2420474,0.13,1013039,404788,1396,486619,143486,14.2
RBTree,500000,100,62906095,4629266,0.07,2213156,805428,4280,1031200,286678,3.7
RBTree,750000,100,71231727,6686834,0.09,2901950,1209721,7404,1484055,429269,4.2
RBTree,1000000,20,89152304,8803487,0.10,3175782,1629393,19920,2003696,712724,1.2
RBTree,2500000,20,245287229,21116883,0.09,10617539,4060513,13810,5138456,1434971,0.9
RBTree,5000000,20,415583470,44479912,0.11,20726871,8063879,18046,10312860,2868169,0.9
RBTree,7500000,20,593541775,67630581,0.11,31423368,11979959,36340,15517808,4308215,0.5
RBTree,10000000,3,823160172,89705986,0.11,41009000,15851510,43412,20379719,5734809,0.6
BTree,1000,100,7670,15503,2.02,0,2727,16,0,0,12.5
BTree,2500,100,26045,31048,1.19,0,5797,5,1298,0,57.3
BTree,5000,100,1293,56695,43.85,0,11685,155,3060,0,152.1
BTree,7500,100,109085,119107,1.09,0,19733,1723,8991,0,92.0
BTree,10000,100,179729,166422,0.93,1,27037,2975,13571,0,86.9
BTree,25000,100,367839,349796,0.95,27,60479,4988,22682,0,84.6
BTree,50000,100,496080,603414,1.22,494,110833,5218,26501,0,91.4
BTree,75000,100,537315,934373,1.74,99,167947,9110,42816,0,99.2
BTree,100000,100,1918116,1465368,0.76,42457,242673,26188,91522,0,89.0
BTree,250000,100,7043246,2888347,0.41,579894,438714,61832,258778,29493,33.6
